,DXEX v3,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
0,C:\Documents and Settings\Prof. Werneck\Desktop\Testes_HTP\Testes\Testes_Topo\15mm\15mm_campo_topo_t03.lda,,,,,,,,,,,,,,,,,,
1,18:05:01,,,,,,,,,,,,,,,,,,
2,15.00 mm;-0.85 mm;0.00 mm,,,,,,,,,,,,,,,,,,
3,15_90_sub1,,,,,,,,,,,,,,,,,,
4,"""X [mm]""	""Y [mm]""	""Z [mm]""	""Date_Time""	""Count{1}""	""Data Rate{1} [#/s]""	""Validation{1} [%]""	""LDA1-Mean [m/s]""","""LDA2-Mean","[m/s]""","""LDA1-RMS","[m/s]""","""LDA2-RMS","[m/s]""","""LDA1-MeanConf","[m/s]""","""LDA2-MeanConf","[m/s]""","""LDA1-RMSConf","[m/s]""","""LDA2-RMSConf","[m/s]""","""LDA1-AnodeCur","[uA]""","""LDA2-AnodeCur","[uA]"""
49,15.00	0.65	-3.50	18:14:00	192	40.26	96.72	-0.2830	0.1155	0.1979	0.1359	0.0281	0.0193	0.0198	0.0136	16	19,,,,,,,,,,,,,,,,,,
50,15.00	0.15	-3.50	18:14:13	206	41.34	93.93	-0.3215	0.0737	0.1773	0.1548	0.0243	0.0212	0.0172	0.0150	16	16,,,,,,,,,,,,,,,,,,
51,15.00	-0.35	-3.50	18:14:26	187	38.30	94.71	-0.3146	0.0032	0.1725	0.1610	0.0248	0.0231	0.0175	0.0164	16	25,,,,,,,,,,,,,,,,,,
52,15.00	-0.85	-3.50	18:14:38	199	40.24	92.73	-0.2922	-0.0174	0.1701	0.1394	0.0237	0.0194	0.0168	0.0137	16	19,,,,,,,,,,,,,,,,,,
53,15.00	-1.35	-3.50	18:14:50	201	40.65	93.39	-0.1821	-0.0714	0.1812	0.1639	0.0251	0.0227	0.0178	0.0161	12	19,,,,,,,,,,,,,,,,,,
54,15.00	-1.85	-3.50	18:15:02	198	39.74	96.67	-0.0818	-0.0694	0.2027	0.1857	0.0283	0.0259	0.0200	0.0183	19	19,,,,,,,,,,,,,,,,,,
55,15.00	-2.35	-3.50	18:15:14	184	37.96	94.70	0.0396	-0.0853	0.1683	0.1695	0.0244	0.0246	0.0172	0.0174	12	16,,,,,,,,,,,,,,,,,,
56,15.00	-2.85	-4.00	18:15:26	214	43.06	90.59	0.1149	-0.1185	0.1848	0.1630	0.0248	0.0219	0.0176	0.0155	12	19,,,,,,,,,,,,,,,,,,
57,15.00	-2.35	-4.00	18:15:38	192	39.76	95.20	0.0181	-0.0842	0.2048	0.1632	0.0290	0.0231	0.0205	0.0164	12	16,,,,,,,,,,,,,,,,,,
58,15.00	-1.85	-4.00	18:15:51	209	42.13	94.67	-0.0784	-0.0667	0.2053	0.1757	0.0279	0.0239	0.0197	0.0169	16	19,,,,,,,,,,,,,,,,,,
