146,15.00	7.15	-6.00	12:57:08	207	41.93	88.61	0.0475	0.1590	0.1981	0.2157	0.0271	0.0295	0.0191	0.0208	12	22,,,,,,,,,,,,,,,,,,
147,15.00	7.15	-6.50	12:57:20	253	50.79	94.54	0.0567	0.2232	0.2073	0.2058	0.0256	0.0254	0.0181	0.0180	12	22,,,,,,,,,,,,,,,,,,
148,15.00	6.65	-6.50	12:57:32	207	41.94	91.52	0.0443	0.2600	0.1931	0.2057	0.0264	0.0281	0.0186	0.0199	12	28,,,,,,,,,,,,,,,,,,
149,15.00	6.15	-6.50	12:57:44	197	39.74	93.43	0.0212	0.2695	0.1810	0.1673	0.0253	0.0234	0.0179	0.0166	12	22,,,,,,,,,,,,,,,,,,
150,15.00	5.65	-6.50	12:57:57	238	47.76	94.13	0.0513	0.2387	0.1707	0.1769	0.0217	0.0225	0.0154	0.0159	16	25,,,,,,,,,,,,,,,,,,
151,15.00	5.15	-6.50	12:58:09	192	38.76	94.40	0.0339	0.2664	0.2004	0.1509	0.0284	0.0214	0.0201	0.0151	16	28,,,,,,,,,,,,,,,,,,
152,15.00	4.65	-6.50	12:58:22	226	45.70	94.70	0.0662	0.2324	0.2191	0.1737	0.0286	0.0227	0.0202	0.0161	12	19,,,,,,,,,,,,,,,,,,
153,15.00	4.15	-6.50	12:58:34	196	40.12	88.71	0.0730	0.2497	0.1899	0.1864	0.0266	0.0262	0.0188	0.0185	12	28,,,,,,,,,,,,,,,,,,
154,15.00	3.65	-6.50	12:58:47	154	31.28	92.88	0.0821	0.2393	0.2272	0.1859	0.0360	0.0295	0.0255	0.0208	12	25,,,,,,,,,,,,,,,,,,
155,15.00	3.15	-6.50	12:58:59	173	35.01	95.38	0.0101	0.1969	0.2276	0.1850	0.0340	0.0277	0.0241	0.0196	9	16,,,,,,,,,,,,,,,,,,
156,15.00	2.65	-6.50	12:59:11	202	40.72	97.25	-0.0292	0.1621	0.2146	0.1895	0.0297	0.0262	0.0210	0.0185	12	22,,,,,,,,,,,,,,,,,,
157,15.00	2.15	-6.50	12:59:23	218	43.95	87.14	-0.0340	0.1821	0.2231	0.1727	0.0297	0.0230	0.0210	0.0162	12	22,,,,,,,,,,,,,,,,,,
158,15.00	1.65	-6.50	12:59:35	217	44.05	93.95	-0.0571	0.1400	0.2318	0.1634	0.0309	0.0218	0.0219	0.0154	12	19,,,,,,,,,,,,,,,,,,
159,15.00	1.15	-6.50	12:59:47	165	33.79	94.36	-0.1083	0.1063	0.2127	0.1775	0.0326	0.0272	0.0230	0.0192	9	19,,,,,,,,,,,,,,,,,,
160,15.00	0.65	-6.50	13:00:00	179	35.92	93.51	-0.1243	0.0648	0.2500	0.1761	0.0367	0.0259	0.0260	0.0183	12	22,,,,,,,,,,,,,,,,,,
161,15.00	0.15	-6.50	13:00:12	169	33.97	88.89	-0.1545	0.0478	0.2201	0.1418	0.0333	0.0214	0.0235	0.0152	12	22,,,,,,,,,,,,,,,,,,
162,15.00	-0.35	-6.50	13:00:24	165	33.24	89.74	-0.1783	-0.0332	0.1984	0.1645	0.0304	0.0252	0.0215	0.0178	16	19,,,,,,,,,,,,,,,,,,
163,15.00	-0.85	-6.50	13:00:37	216	44.04	94.57	-0.1531	-0.0738	0.2249	0.1508	0.0301	0.0202	0.0213	0.0143	12	19,,,,,,,,,,,,,,,,,,
164,15.00	-1.35	-6.50	13:00:49	198	40.41	93.59	-0.1562	-0.1240	0.2113	0.1765	0.0295	0.0246	0.0209	0.0174	16	32,,,,,,,,,,,,,,,,,,
165,15.00	-1.85	-6.50	13:01:01	197	39.62	91.14	-0.0513	-0.1368	0.2363	0.1757	0.0331	0.0246	0.0234	0.0174	12	22,,,,,,,,,,,,,,,,,,
166,15.00	-2.35	-6.50	13:01:13	241	48.86	91.52	-0.0225	-0.1455	0.2476	0.1814	0.0313	0.0229	0.0221	0.0162	12	19,,,,,,,,,,,,,,,,,,
167,15.00	-2.85	-6.50	13:01:26	224	45.85	93.55	0.0099	-0.1530	0.2243	0.2211	0.0294	0.0290	0.0208	0.0205	12	22,,,,,,,,,,,,,,,,,,
168,15.00	-3.35	-6.50	13:01:39	216	43.93	92.88	-0.0080	-0.2104	0.2344	0.2141	0.0313	0.0286	0.0222	0.0202	12	22,,,,,,,,,,,,,,,,,,
169,15.00	-3.85	-6.50	13:01:52	207	42.08	89.83	0.0332	-0.2139	0.2133	0.2070	0.0291	0.0283	0.0206	0.0200	12	22,,,,,,,,,,,,,,,,,,
170,15.00	-4.35	-6.50	13:02:04	188	37.66	89.02	0.0441	-0.2250	0.2450	0.2142	0.0351	0.0307	0.0248	0.0217	12	22,,,,,,,,,,,,,,,,,,
171,15.00	-4.85	-6.50	13:02:16	210	42.34	97.22	0.0825	-0.2101	0.2389	0.2032	0.0324	0.0276	0.0229	0.0195	9	19,,,,,,,,,,,,,,,,,,
172,15.00	-5.35	-6.50	13:02:29	222	45.30	92.49	0.0450	-0.2256	0.2222	0.2115	0.0293	0.0279	0.0207	0.0197	12	22,,,,,,,,,,,,,,,,,,
173,15.00	-5.85	-6.50	13:02:41	213	43.55	97.49	0.0439	-0.2332	0.2123	0.2398	0.0286	0.0323	0.0202	0.0228	12	19,,,,,,,,,,,,,,,,,,
174,15.00	-6.35	-6.50	13:02:54	211	42.64	87.43	0.0165	-0.2669	0.2025	0.2110	0.0274	0.0285	0.0194	0.0202	16	19,,,,,,,,,,,,,,,,,,
175,15.00	-6.85	-6.50	13:03:06	229	46.34	91.79	0.0384	-0.2427	0.2204	0.2093	0.0286	0.0272	0.0202	0.0192	12	22,,,,,,,,,,,,,,,,,,
176,15.00	-6.85	-7.00	13:03:18	201	40.56	93.43	-0.0005	-0.2567	0.2171	0.1998	0.0301	0.0277	0.0213	0.0196	19	22,,,,,,,,,,,,,,,,,,
177,15.00	-6.35	-7.00	13:03:30	219	43.94	91.56	0.0110	-0.2424	0.2043	0.1836	0.0271	0.0244	0.0192	0.0172	16	19,,,,,,,,,,,,,,,,,,
178,15.00	-5.85	-7.00	13:03:42	225	45.72	90.97	0.0159	-0.2651	0.2087	0.1882	0.0273	0.0246	0.0193	0.0174	12	19,,,,,,,,,,,,,,,,,,
179,15.00	-5.35	-7.00	13:03:55	189	38.08	94.12	-0.0049	-0.2880	0.2191	0.1871	0.0313	0.0267	0.0221	0.0189	12	22,,,,,,,,,,,,,,,,,,
180,15.00	-4.85	-7.00	13:04:08	245	49.70	91.57	0.0385	-0.2799	0.2415	0.2120	0.0303	0.0266	0.0214	0.0188	12	25,,,,,,,,,,,,,,,,,,
181,15.00	-4.35	-7.00	13:04:20	193	38.76	92.40	0.0714	-0.2222	0.2391	0.2101	0.0338	0.0297	0.0239	0.0210	9	22,,,,,,,,,,,,,,,,,,
182,15.00	-3.85	-7.00	13:04:32	236	47.49	95.68	0.0474	-0.2641	0.2205	0.2047	0.0282	0.0262	0.0199	0.0185	12	16,,,,,,,,,,,,,,,,,,
183,15.00	-3.35	-7.00	13:04:45	228	46.71	92.24	0.0441	-0.2472	0.2437	0.2052	0.0317	0.0267	0.0224	0.0189	12	19,,,,,,,,,,,,,,,,,,
184,15.00	-2.85	-7.00	13:04:57	214	43.64	94.27	0.0176	-0.2156	0.2389	0.2040	0.0321	0.0274	0.0227	0.0194	12	28,,,,,,,,,,,,,,,,,,
185,15.00	-2.35	-7.00	13:05:09	189	38.02	95.16	-0.0338	-0.2113	0.2293	0.1819	0.0328	0.0260	0.0232	0.0184	16	35,,,,,,,,,,,,,,,,,,
186,15.00	-1.85	-7.00	13:05:21	233	46.96	91.09	-0.0380	-0.2215	0.2247	0.1906	0.0289	0.0245	0.0204	0.0173	12	32,,,,,,,,,,,,,,,,,,
187,15.00	-1.35	-7.00	13:05:34	209	42.30	95.89	-0.0629	-0.1685	0.2465	0.1784	0.0335	0.0242	0.0237	0.0171	12	28,,,,,,,,,,,,,,,,,,
188,15.00	-0.85	-7.00	13:05:46	213	43.13	93.36	-0.1147	-0.0984	0.2785	0.1823	0.0375	0.0245	0.0265	0.0174	19	35,,,,,,,,,,,,,,,,,,
189,15.00	-0.35	-7.00	13:05:58	191	38.63	94.71	-0.1243	-0.0308	0.2443	0.1605	0.0347	0.0228	0.0246	0.0161	12	28,,,,,,,,,,,,,,,,,,
190,15.00	0.15	-7.00	13:06:11	166	33.23	94.70	-0.1298	0.0144	0.2629	0.1619	0.0401	0.0247	0.0284	0.0175	16	25,,,,,,,,,,,,,,,,,,
191,15.00	0.65	-7.00	13:06:23	174	34.57	91.55	-0.1277	0.1149	0.2224	0.1588	0.0331	0.0237	0.0234	0.0167	12	22,,,,,,,,,,,,,,,,,,
192,15.00	1.15	-7.00	13:06:37	168	33.70	90.55	-0.0752	0.1435	0.2469	0.1637	0.0374	0.0248	0.0265	0.0176	12	22,,,,,,,,,,,,,,,,,,
193,15.00	1.65	-7.00	13:06:49	187	38.50	95.25	-0.0150	0.1661	0.2223	0.1786	0.0320	0.0257	0.0226	0.0181	12	44,,,,,,,,,,,,,,,,,,
194,15.00	2.15	-7.00	13:07:01	224	44.92	95.99	-0.0151	0.1884	0.2176	0.1867	0.0286	0.0245	0.0202	0.0173	12	22,,,,,,,,,,,,,,,,,,
195,15.00	2.65	-7.00	13:07:13	197	39.69	95.63	0.0182	0.2094	0.2237	0.1789	0.0313	0.0250	0.0221	0.0177	12	25,,,,,,,,,,,,,,,,,,
196,15.00	3.15	-7.00	13:07:26	197	39.84	95.02	0.0710	0.2517	0.2225	0.2045	0.0311	0.0286	0.0220	0.0202	12	16,,,,,,,,,,,,,,,,,,
197,15.00	3.65	-7.00	13:07:38	209	43.36	95.60	0.0378	0.2623	0.2542	0.1744	0.0345	0.0237	0.0244	0.0168	12	32,,,,,,,,,,,,,,,,,,
198,15.00	4.15	-7.00	13:07:50	193	38.08	94.72	0.0434	0.2794	0.2321	0.1885	0.0328	0.0267	0.0232	0.0189	12	32,,,,,,,,,,,,,,,,,,
199,15.00	4.65	-7.00	13:08:03	219	43.88	95.56	0.0562	0.2703	0.2279	0.1973	0.0303	0.0262	0.0214	0.0185	12	25,,,,,,,,,,,,,,,,,,
200,15.00	5.15	-7.00	13:08:15	213	42.86	93.27	0.0285	0.2711	0.2066	0.1795	0.0278	0.0242	0.0197	0.0171	12	28,,,,,,,,,,,,,,,,,,
201,15.00	5.65	-7.00	13:08:27	194	39.16	89.87	0.0112	0.2738	0.1781	0.1774	0.0251	0.0250	0.0178	0.0177	19	22,,,,,,,,,,,,,,,,,,
202,15.00	6.15	-7.00	13:08:40	209	42.26	95.89	0.0224	0.2813	0.1929	0.1647	0.0262	0.0224	0.0185	0.0158	16	19,,,,,,,,,,,,,,,,,,
203,15.00	6.65	-7.00	13:08:52	219	44.18	93.30	0.0178	0.2693	0.2138	0.1722	0.0284	0.0229	0.0201	0.0162	12	19,,,,,,,,,,,,,,,,,,
204,15.00	7.15	-7.00	13:09:06	220	44.48	94.08	-0.0010	0.2916	0.2208	0.2057	0.0292	0.0272	0.0207	0.0193	19	19,,,,,,,,,,,,,,,,,,
205,15.00	7.15	-7.50	13:09:18	222	44.96	95.86	0.0039	0.2810	0.2290	0.1883	0.0302	0.0248	0.0213	0.0176	16	22,,,,,,,,,,,,,,,,,,
206,15.00	6.65	-7.50	13:09:30	198	39.44	89.96	0.0317	0.2704	0.2212	0.1927	0.0309	0.0269	0.0218	0.0190	19	32,,,,,,,,,,,,,,,,,,
207,15.00	6.15	-7.50	13:09:43	204	41.69	90.53	0.0232	0.2559	0.2035	0.1901	0.0280	0.0261	0.0198	0.0185	19	28,,,,,,,,,,,,,,,,,,
208,15.00	5.65	-7.50	13:09:55	204	41.09	93.24	0.0015	0.2561	0.2193	0.1902	0.0302	0.0262	0.0213	0.0185	16	28,,,,,,,,,,,,,,,,,,
209,15.00	5.15	-7.50	13:10:07	240	48.26	94.55	0.0211	0.2544	0.2002	0.1848	0.0254	0.0234	0.0179	0.0166	12	32,,,,,,,,,,,,,,,,,,
210,15.00	4.65	-7.50	13:10:19	193	39.26	89.18	0.0513	0.2856	0.2265	0.1989	0.0320	0.0281	0.0227	0.0199	12	32,,,,,,,,,,,,,,,,,,
211,15.00	4.15	-7.50	13:10:31	212	42.56	93.98	0.0312	0.2589	0.2333	0.1995	0.0315	0.0269	0.0223	0.0190	9	35,,,,,,,,,,,,,,,,,,
212,15.00	3.65	-7.50	13:10:43	209	42.05	91.17	0.0365	0.2461	0.2229	0.1960	0.0303	0.0266	0.0214	0.0188	12	35,,,,,,,,,,,,,,,,,,
213,15.00	3.15	-7.50	13:10:55	188	38.17	93.69	0.0291	0.2619	0.2350	0.1974	0.0337	0.0283	0.0238	0.0200	12	22,,,,,,,,,,,,,,,,,,
214,15.00	2.65	-7.50	13:11:07	218	44.86	94.69	0.0610	0.2585	0.2355	0.1835	0.0313	0.0244	0.0222	0.0173	12	25,,,,,,,,,,,,,,,,,,
215,15.00	2.15	-7.50	13:11:19	187	37.93	97.16	0.0128	0.2366	0.2257	0.1915	0.0324	0.0275	0.0229	0.0195	12	22,,,,,,,,,,,,,,,,,,
216,15.00	1.65	-7.50	13:11:31	180	36.62	94.57	0.0096	0.2000	0.2484	0.1693	0.0364	0.0248	0.0257	0.0175	9	22,,,,,,,,,,,,,,,,,,
217,15.00	1.15	-7.50	13:11:43	179	36.05	95.24	-0.0336	0.1608	0.2788	0.1818	0.0410	0.0267	0.0290	0.0189	12	22,,,,,,,,,,,,,,,,,,
218,15.00	0.65	-7.50	13:11:55	178	35.76	95.94	-0.0195	0.1073	0.2792	0.1764	0.0411	0.0260	0.0291	0.0184	12	28,,,,,,,,,,,,,,,,,,
219,15.00	0.15	-7.50	13:12:08	141	28.77	95.11	-0.0110	0.0103	0.2908	0.1740	0.0482	0.0288	0.0341	0.0204	16	38,,,,,,,,,,,,,,,,,,
220,15.00	-0.35	-7.50	13:12:20	190	38.28	96.50	-0.0758	-0.0486	0.2931	0.1740	0.0418	0.0248	0.0295	0.0175	12	41,,,,,,,,,,,,,,,,,,
221,15.00	-0.85	-7.50	13:12:32	202	40.71	94.24	-0.0440	-0.1181	0.2828	0.1781	0.0391	0.0246	0.0276	0.0174	16	32,,,,,,,,,,,,,,,,,,
222,15.00	-1.35	-7.50	13:12:45	238	48.73	96.92	-0.0185	-0.1669	0.2887	0.1847	0.0368	0.0235	0.0260	0.0166	12	25,,,,,,,,,,,,,,,,,,
223,15.00	-1.85	-7.50	13:12:57	220	44.48	85.46	-0.0055	-0.2216	0.2247	0.1766	0.0298	0.0234	0.0210	0.0165	12	22,,,,,,,,,,,,,,,,,,
224,15.00	-2.35	-7.50	13:13:09	209	42.50	92.44	0.0257	-0.2647	0.2347	0.1771	0.0319	0.0241	0.0226	0.0170	12	25,,,,,,,,,,,,,,,,,,
225,15.00	-2.85	-7.50	13:13:21	198	39.84	91.78	0.0126	-0.2726	0.2330	0.1996	0.0325	0.0279	0.0230	0.0197	12	28,,,,,,,,,,,,,,,,,,
226,15.00	-3.35	-7.50	13:13:33	199	40.03	89.35	0.0197	-0.2629	0.2334	0.1885	0.0325	0.0263	0.0230	0.0186	12	22,,,,,,,,,,,,,,,,,,
227,15.00	-3.85	-7.50	13:13:45	234	47.74	74.80	0.0267	-0.2661	0.2503	0.2010	0.0321	0.0258	0.0227	0.0182	12	19,,,,,,,,,,,,,,,,,,
228,15.00	-4.35	-7.50	13:13:57	218	43.95	93.03	-0.0065	-0.3014	0.2365	0.2033	0.0315	0.0271	0.0223	0.0191	12	25,,,,,,,,,,,,,,,,,,
229,15.00	-4.85	-7.50	13:14:10	240	48.71	91.81	0.0058	-0.2810	0.2395	0.2171	0.0304	0.0275	0.0215	0.0195	12	22,,,,,,,,,,,,,,,,,,
230,15.00	-5.35	-7.50	13:14:22	263	53.40	89.02	0.0306	-0.2571	0.2363	0.1973	0.0286	0.0239	0.0202	0.0169	12	28,,,,,,,,,,,,,,,,,,
231,15.00	-5.85	-7.50	13:14:35	266	54.15	92.09	0.0101	-0.2970	0.2307	0.1855	0.0278	0.0223	0.0196	0.0158	16	25,,,,,,,,,,,,,,,,,,
232,15.00	-6.35	-7.50	13:14:47	260	52.20	92.28	0.0037	-0.2916	0.2256	0.1774	0.0275	0.0216	0.0194	0.0153	19	25,,,,,,,,,,,,,,,,,,
233,15.00	-6.85	-7.50	13:14:59	275	55.27	94.24	-0.0207	-0.2921	0.2060	0.1750	0.0244	0.0207	0.0172	0.0147	16	19,,,,,,,,,,,,,,,,,,
234,15.00	-6.85	-8.00	13:15:13	268	54.12	93.24	-0.0073	-0.2987	0.2002	0.1855	0.0240	0.0222	0.0170	0.0157	12	22,,,,,,,,,,,,,,,,,,
235,15.00	-6.35	-8.00	13:15:25	240	48.26	88.64	-0.0358	-0.2838	0.2171	0.1969	0.0275	0.0250	0.0195	0.0177	12	16,,,,,,,,,,,,,,,,,,
236,15.00	-5.85	-8.00	13:15:37	261	52.94	92.22	0.0091	-0.3111	0.2019	0.1990	0.0245	0.0242	0.0174	0.0171	12	16,,,,,,,,,,,,,,,,,,
237,15.00	-5.35	-8.00	13:15:49	223	45.33	89.64	-0.0226	-0.2481	0.2090	0.2258	0.0275	0.0297	0.0194	0.0210	16	22,,,,,,,,,,,,,,,,,,
238,15.00	-4.85	-8.00	13:16:02	277	55.58	93.35	-0.0138	-0.2759	0.2414	0.2309	0.0285	0.0272	0.0201	0.0193	12	19,,,,,,,,,,,,,,,,,,
239,15.00	-4.35	-8.00	13:16:14	242	48.83	93.73	-0.0253	-0.2892	0.2431	0.2330	0.0307	0.0294	0.0217	0.0208	9	16,,,,,,,,,,,,,,,,,,
240,15.00	-3.85	-8.00	13:16:26	210	42.39	95.76	0.0005	-0.2617	0.2431	0.2246	0.0330	0.0305	0.0233	0.0215	16	22,,,,,,,,,,,,,,,,,,
241,15.00	-3.35	-8.00	13:16:39	210	42.40	91.34	0.0190	-0.2577	0.2385	0.2198	0.0323	0.0298	0.0229	0.0211	12	22,,,,,,,,,,,,,,,,,,
242,15.00	-2.85	-8.00	13:16:51	226	45.66	95.83	0.0192	-0.2237	0.2254	0.1941	0.0294	0.0254	0.0208	0.0179	12	25,,,,,,,,,,,,,,,,,,
243,15.00	-2.35	-8.00	13:17:03	226	45.56	93.70	0.0485	-0.2440	0.2259	0.1991	0.0295	0.0260	0.0209	0.0184	12	38,,,,,,,,,,,,,,,,,,
244,15.00	-1.85	-8.00	13:17:15	219	43.89	94.35	0.0678	-0.2406	0.2663	0.1697	0.0353	0.0225	0.0250	0.0159	12	19,,,,,,,,,,,,,,,,,,
245,15.00	-1.35	-8.00	13:17:28	219	44.56	94.28	0.0284	-0.1632	0.2754	0.1792	0.0366	0.0238	0.0258	0.0168	16	25,,,,,,,,,,,,,,,,,,
246,15.00	-0.85	-8.00	13:17:40	208	42.30	93.62	0.0289	-0.1502	0.2830	0.1697	0.0386	0.0231	0.0273	0.0163	12	25,,,,,,,,,,,,,,,,,,
247,15.00	-0.35	-8.00	13:17:52	153	31.17	93.17	0.0620	-0.0236	0.3142	0.1643	0.0499	0.0261	0.0353	0.0185	12	22,,,,,,,,,,,,,,,,,,
248,15.00	0.15	-8.00	13:18:05	157	32.44	92.23	0.0972	0.0573	0.2722	0.1771	0.0427	0.0278	0.0302	0.0196	12	22,,,,,,,,,,,,,,,,,,
249,15.00	0.65	-8.00	13:18:18	167	34.01	87.71	0.0072	0.1109	0.2870	0.1588	0.0437	0.0242	0.0309	0.0171	12	19,,,,,,,,,,,,,,,,,,
250,15.00	1.15	-8.00	13:18:30	199	40.08	92.14	0.0324	0.1791	0.2849	0.1742	0.0397	0.0243	0.0281	0.0172	12	19,,,,,,,,,,,,,,,,,,
251,15.00	1.65	-8.00	13:18:42	189	37.93	94.28	-0.0001	0.1777	0.2480	0.1754	0.0355	0.0251	0.0251	0.0177	12	19,,,,,,,,,,,,,,,,,,
252,15.00	2.15	-8.00	13:18:54	176	35.33	95.56	0.0227	0.2194	0.2286	0.2049	0.0339	0.0304	0.0240	0.0215	12	22,,,,,,,,,,,,,,,,,,
253,15.00	2.65	-8.00	13:19:07	206	41.62	93.55	-0.0091	0.2892	0.2395	0.1594	0.0328	0.0218	0.0232	0.0154	12	22,,,,,,,,,,,,,,,,,,
254,15.00	3.15	-8.00	13:19:19	209	41.95	94.51	0.0014	0.2598	0.2275	0.2088	0.0309	0.0284	0.0219	0.0201	12	22,,,,,,,,,,,,,,,,,,
255,15.00	3.65	-8.00	13:19:32	196	39.50	95.13	-0.0163	0.2534	0.2370	0.2126	0.0333	0.0298	0.0235	0.0211	12	25,,,,,,,,,,,,,,,,,,
256,15.00	4.15	-8.00	13:19:44	243	49.10	94.48	-0.0282	0.2210	0.2442	0.1972	0.0308	0.0248	0.0218	0.0176	12	22,,,,,,,,,,,,,,,,,,
257,15.00	4.65	-8.00	13:19:56	188	38.21	96.00	-0.0287	0.2366	0.2542	0.2144	0.0364	0.0307	0.0258	0.0217	16	19,,,,,,,,,,,,,,,,,,
258,15.00	5.15	-8.00	13:20:08	225	45.43	87.03	0.0062	0.2596	0.2226	0.1979	0.0292	0.0259	0.0206	0.0183	16	22,,,,,,,,,,,,,,,,,,
259,15.00	5.65	-8.00	13:20:21	220	44.95	97.32	0.0030	0.2649	0.2059	0.2075	0.0273	0.0275	0.0193	0.0194	16	25,,,,,,,,,,,,,,,,,,
260,15.00	6.15	-8.00	13:20:33	238	47.84	90.73	-0.0150	0.2320	0.2010	0.2120	0.0256	0.0270	0.0181	0.0191	12	19,,,,,,,,,,,,,,,,,,
261,15.00	6.65	-8.00	13:20:45	224	45.06	87.08	-0.0215	0.2757	0.2017	0.2082	0.0265	0.0273	0.0187	0.0193	16	22,,,,,,,,,,,,,,,,,,
262,15.00	7.15	-8.00	13:20:57	232	47.49	92.27	-0.0416	0.1936	0.2192	0.2162	0.0283	0.0279	0.0200	0.0197	16	38,,,,,,,,,,,,,,,,,,
263,15.00	6.15	-8.50	13:21:12	230	46.63	93.85	-0.0588	0.2504	0.2160	0.2407	0.0280	0.0312	0.0198	0.0220	16	25,,,,,,,,,,,,,,,,,,
264,15.00	5.65	-8.50	13:21:24	211	42.51	95.54	-0.0022	0.2922	0.1937	0.2233	0.0262	0.0302	0.0185	0.0214	12	32,,,,,,,,,,,,,,,,,,
265,15.00	5.15	-8.50	13:21:36	216	44.04	90.92	-0.0528	0.2769	0.2161	0.1871	0.0289	0.0250	0.0204	0.0177	16	28,,,,,,,,,,,,,,,,,,
266,15.00	4.65	-8.50	13:21:49	199	40.40	84.54	-0.0273	0.2825	0.2097	0.1969	0.0292	0.0274	0.0207	0.0194	16	19,,,,,,,,,,,,,,,,,,
267,15.00	4.15	-8.50	13:22:01	222	44.55	92.25	-0.0460	0.2383	0.2124	0.2068	0.0280	0.0273	0.0198	0.0193	16	28,,,,,,,,,,,,,,,,,,
268,15.00	3.65	-8.50	13:22:13	218	44.45	91.94	-0.0080	0.2324	0.2201	0.2091	0.0293	0.0278	0.0207	0.0197	16	32,,,,,,,,,,,,,,,,,,
269,15.00	3.15	-8.50	13:22:25	269	54.02	90.10	0.0034	0.2205	0.2469	0.2154	0.0296	0.0258	0.0209	0.0182	12	19,,,,,,,,,,,,,,,,,,
270,15.00	2.65	-8.50	13:22:37	262	52.87	94.69	-0.0033	0.1800	0.2221	0.2243	0.0269	0.0272	0.0191	0.0192	12	19,,,,,,,,,,,,,,,,,,
271,15.00	2.15	-8.50	13:22:50	180	35.78	95.80	0.0193	0.1578	0.2733	0.2107	0.0400	0.0309	0.0283	0.0218	12	19,,,,,,,,,,,,,,,,,,
272,15.00	1.65	-8.50	13:23:02	188	37.77	93.29	0.0540	0.1869	0.2401	0.1820	0.0344	0.0261	0.0243	0.0185	12	25,,,,,,,,,,,,,,,,,,
273,15.00	1.15	-8.50	13:23:14	198	39.75	97.20	0.0625	0.1598	0.2633	0.1673	0.0368	0.0234	0.0260	0.0165	12	25,,,,,,,,,,,,,,,,,,
274,15.00	0.65	-8.50	13:23:26	181	36.33	92.78	0.1068	0.0956	0.2560	0.1728	0.0374	0.0252	0.0264	0.0179	12	19,,,,,,,,,,,,,,,,,,
275,15.00	0.15	-8.50	13:23:39	151	30.66	93.16	0.0964	0.0219	0.2730	0.1691	0.0437	0.0271	0.0309	0.0191	16	25,,,,,,,,,,,,,,,,,,
276,15.00	-0.35	-8.50	13:23:51	196	39.49	88.26	0.0957	-0.0280	0.2611	0.1749	0.0366	0.0246	0.0259	0.0174	12	19,,,,,,,,,,,,,,,,,,
277,15.00	-0.85	-8.50	13:24:03	200	40.71	95.54	0.0895	-0.1099	0.2612	0.1669	0.0363	0.0232	0.0257	0.0164	12	22,,,,,,,,,,,,,,,,,,
278,15.00	-1.35	-8.50	13:24:15	189	37.92	91.09	0.0933	-0.1654	0.2499	0.1852	0.0357	0.0265	0.0253	0.0187	12	19,,,,,,,,,,,,,,,,,,
279,15.00	-1.85	-8.50	13:24:27	163	32.95	95.22	0.0309	-0.1785	0.2300	0.1934	0.0354	0.0298	0.0250	0.0211	12	19,,,,,,,,,,,,,,,,,,
280,15.00	-2.35	-8.50	13:24:39	217	43.94	91.04	0.0428	-0.2298	0.2455	0.1955	0.0327	0.0261	0.0232	0.0184	12	22,,,,,,,,,,,,,,,,,,
281,15.00	-2.85	-8.50	13:24:52	209	42.34	92.65	0.0431	-0.2334	0.2639	0.2059	0.0359	0.0280	0.0254	0.0198	12	22,,,,,,,,,,,,,,,,,,
282,15.00	-3.35	-8.50	13:25:04	199	40.04	97.56	-0.0353	-0.2310	0.2320	0.2315	0.0323	0.0322	0.0228	0.0228	12	22,,,,,,,,,,,,,,,,,,
283,15.00	-3.85	-8.50	13:25:16	250	50.44	92.04	-0.0706	-0.2270	0.2304	0.2368	0.0286	0.0294	0.0202	0.0208	12	28,,,,,,,,,,,,,,,,,,
284,15.00	-4.35	-8.50	13:25:29	230	46.58	92.51	-0.0215	-0.2545	0.2354	0.2225	0.0305	0.0288	0.0216	0.0204	12	28,,,,,,,,,,,,,,,,,,
285,15.00	-4.85	-8.50	13:25:41	228	45.85	92.39	-0.0287	-0.2426	0.2171	0.2227	0.0282	0.0290	0.0200	0.0205	12	32,,,,,,,,,,,,,,,,,,
286,15.00	-5.35	-8.50	13:25:55	220	44.55	90.06	0.0020	-0.2966	0.2470	0.2053	0.0327	0.0272	0.0231	0.0192	12	32,,,,,,,,,,,,,,,,,,
287,15.00	-5.85	-8.50	13:26:07	234	47.15	93.86	-0.0252	-0.2957	0.1866	0.2120	0.0240	0.0272	0.0169	0.0192	19	38,,,,,,,,,,,,,,,,,,
288,15.00	-3.85	-9.00	13:26:26	247	49.47	90.20	-0.0506	-0.2121	0.2119	0.2410	0.0265	0.0301	0.0187	0.0213	12	19,,,,,,,,,,,,,,,,,,
289,15.00	-3.35	-9.00	13:26:38	200	40.42	92.67	-0.0380	-0.2422	0.2336	0.2549	0.0325	0.0354	0.0230	0.0250	16	22,,,,,,,,,,,,,,,,,,
290,15.00	-2.85	-9.00	13:26:51	157	32.17	94.47	0.0101	-0.1996	0.2606	0.2331	0.0409	0.0366	0.0289	0.0259	19	25,,,,,,,,,,,,,,,,,,
291,15.00	-2.35	-9.00	13:27:04	183	36.69	91.85	0.0438	-0.1922	0.2566	0.2155	0.0373	0.0313	0.0264	0.0221	9	16,,,,,,,,,,,,,,,,,,
292,15.00	-1.85	-9.00	13:27:16	176	35.57	95.20	0.0816	-0.1799	0.2454	0.2195	0.0364	0.0325	0.0257	0.0230	12	22,,,,,,,,,,,,,,,,,,
293,15.00	-1.35	-9.00	13:27:28	191	38.73	94.10	0.0838	-0.1212	0.2560	0.1781	0.0364	0.0253	0.0257	0.0179	12	19,,,,,,,,,,,,,,,,,,
